pair_id,subset,L1,a1,b1,L2,a2,b2,DV
1050,BFD-D65,37.114742,-28.371401,-15.476032,37.160809,-27.809332,-17.771332,1.610000
1051,BFD-D65,37.335136,-19.935518,-23.446417,37.905174,-17.708971,-25.365938,1.440000
1052,BFD-D65,38.163567,-12.796434,-26.366819,38.065845,-9.743620,-27.684864,1.710000
1053,BFD-D65,42.958473,7.989877,-30.309027,43.085426,11.132853,-29.061697,3.660000
1054,BFD-D65,26.677710,16.834044,-42.636372,27.087961,19.543564,-42.350658,2.870000
1055,BFD-D65,26.677710,16.834044,-42.636372,26.691988,19.089689,-40.997787,3.220000
1056,BFD-D65,31.784132,39.294998,-13.802340,31.772736,36.644222,-18.223768,2.500000
1057,BFD-D65,31.784132,39.294998,-13.802340,32.413834,37.991497,-18.653765,2.140000
1058,BFD-D65,26.677710,37.071995,-13.957189,26.346640,38.279858,-9.257470,2.240000
1059,BFD-D65,50.487717,-11.724610,-21.690321,50.657944,-7.123490,-24.225460,4.160000
1060,BFD-D65,50.955215,-4.730740,-24.630684,50.757328,0.181386,-24.514521,4.930000
1061,BFD-D65,49.941837,7.489640,-23.547792,51.111534,2.784103,-24.815784,5.050000
1062,BFD-D65,39.292660,-21.427395,-21.015078,38.119190,-17.874346,-25.041441,2.560000
1063,BFD-D65,38.110306,-17.836069,-25.056265,37.490154,-11.347415,-27.527931,3.780000
1064,BFD-D65,38.287430,-9.952696,-27.370930,38.296257,-4.105003,-27.397863,4.090000
1065,BFD-D65,51.496315,40.923615,50.700367,51.547668,43.522007,56.055313,1.900000
1066,BFD-D65,51.496315,40.923615,50.700367,50.850601,44.732555,59.576252,3.040000
1067,BFD-D65,51.496315,40.923615,50.700367,50.978420,44.430157,62.538162,3.370000
1068,BFD-D65,51.496315,40.923615,50.700367,51.859818,38.425926,43.558334,2.770000
1069,BFD-D65,51.496315,40.923615,50.700367,52.663761,42.720638,61.836685,3.480000
1070,BFD-D65,51.496315,40.923615,50.700367,51.065292,40.159676,57.216358,3.030000
1071,BFD-D65,51.496315,40.923615,50.700367,50.809826,38.383499,61.422569,3.990000
1072,BFD-D65,51.496315,40.923615,50.700367,51.467754,39.046726,56.623566,2.610000
1073,BFD-D65,51.496315,40.923615,50.700367,51.978245,37.721176,57.219364,3.830000
1074,BFD-D65,51.496315,40.923615,50.700367,51.128857,35.896854,57.038246,4.280000
1075,BFD-D65,51.496315,40.923615,50.700367,52.258572,36.291714,56.775284,4.600000
1076,BFD-D65,51.496315,40.923615,50.700367,51.712616,47.533688,46.835049,4.350000
1077,BFD-D65,51.496315,40.923615,50.700367,51.180775,35.958073,52.263851,2.910000
1078,BFD-D65,51.496315,40.923615,50.700367,51.927540,35.076653,51.866962,3.630000
1079,BFD-D65,51.496315,40.923615,50.700367,51.007404,47.062946,50.467876,3.360000
1080,BFD-D65,51.496315,40.923615,50.700367,51.284370,46.570473,52.928108,3.180000
1081,BFD-D65,51.496315,40.923615,50.700367,51.882408,46.841766,55.605648,3.130000
1082,BFD-D65,51.496315,40.923615,50.700367,51.370453,45.849808,56.651360,2.400000
1083,BFD-D65,75.208054,-3.781472,78.674438,75.067116,1.185844,87.234528,3.790000
1084,BFD-D65,75.208054,-3.781472,78.674438,74.862755,1.829889,91.948410,4.770000
1085,BFD-D65,75.208054,-3.781472,78.674438,74.887962,0.708452,88.835701,4.250000
1086,BFD-D65,75.208054,-3.781472,78.674438,74.470337,-0.246026,89.167061,3.260000
1087,BFD-D65,75.208054,-3.781472,78.674438,74.505287,-1.220338,88.560120,2.940000
1088,BFD-D65,75.208054,-3.781472,78.674438,75.782959,-2.381584,91.524902,2.700000
1089,BFD-D65,75.208054,-3.781472,78.674438,75.930954,-4.588816,70.353233,2.340000
1090,BFD-D65,75.208054,-3.781472,78.674438,75.513496,-2.356072,70.961365,2.710000
1091,BFD-D65,75.208054,-3.781472,78.674438,74.884811,-7.138892,71.033440,2.630000
1092,BFD-D65,75.208054,-3.781472,78.674438,74.969765,-7.633768,83.930573,3.580000
1093,BFD-D65,75.208054,-3.781472,78.674438,75.482422,1.127596,73.796715,4.190000
1094,BFD-D65,75.208054,-3.781472,78.674438,75.696411,0.931473,76.551453,3.670000
1095,BFD-D65,75.208054,-3.781472,78.674438,74.730225,-8.630614,79.147003,3.750000
1096,BFD-D65,75.208054,-3.781472,78.674438,74.673302,1.267196,78.572609,3.990000
1097,BFD-D65,75.208054,-3.781472,78.674438,74.537041,-8.549176,76.036232,3.660000
1098,BFD-D65,75.208054,-3.781472,78.674438,74.717583,-8.119070,74.865402,3.750000
1099,BFD-D65,75.208054,-3.781472,78.674438,74.969765,1.557358,86.374077,4.680000
1100,BFD-D65,71.282639,-7.052512,44.795494,71.398582,-2.643600,46.134010,4.260870
1101,BFD-D65,71.282639,-7.052512,44.795494,70.967339,-6.657140,45.820759,0.840580
1102,BFD-D65,71.282639,-7.052512,44.795494,71.758118,-10.273877,45.622677,2.898550
1103,BFD-D65,71.282639,-7.052512,44.795494,71.180069,-8.981453,43.858223,1.217390
1104,BFD-D65,71.282639,-7.052512,44.795494,71.323593,-7.729590,47.694462,1.913040
1105,BFD-D65,71.282639,-7.052512,44.795494,70.594261,-3.690391,47.404770,3.159420
