pair_id,L1,a1,b1,L2,a2,b2,DV
173,48.990000,-16.800000,-11.390000,48.292947,-17.159404,-11.012321,1.020000
174,59.780000,-0.990000,1.250000,58.840796,-1.028546,1.226496,1.020000
175,59.970000,-0.930000,1.280000,60.048299,-1.795639,1.317410,1.020000
176,59.640000,-1.010000,1.210000,59.678293,-1.140724,-0.103838,1.020000
177,59.550000,-1.120000,1.070000,59.556513,-1.829883,0.468041,1.020000
178,59.520000,-0.980000,1.250000,59.528890,-0.162116,0.278445,1.020000
179,58.990000,-0.530000,0.810000,58.234775,-0.959644,0.255688,1.020000
180,59.090000,-0.450000,0.900000,58.399939,-0.015555,0.302890,1.020000
181,58.620000,-0.490000,0.910000,59.155862,-0.883198,0.348910,1.020000
182,58.850000,-0.540000,0.760000,58.226013,-0.924993,1.331911,1.020000
183,55.530000,-27.100000,2.830000,54.572438,-27.179717,2.825198,1.020000
184,55.630000,-27.370000,2.060000,54.651674,-27.434699,2.045296,1.020000
185,55.570000,-27.110000,2.800000,55.560879,-29.381030,3.005214,1.020000
186,55.470000,-27.470000,2.100000,55.412716,-29.955644,2.256909,1.020000
187,55.880000,-27.210000,2.760000,55.893001,-27.555826,1.506705,1.020000
188,55.900000,-27.430000,1.980000,55.917221,-27.752270,0.793011,1.020000
189,55.630000,-27.250000,2.760000,55.609845,-28.672614,1.868137,1.020000
190,55.640000,-27.620000,1.970000,55.581267,-29.109692,0.998230,1.020000
191,55.560000,-27.060000,2.800000,55.467969,-25.881300,1.483254,1.020000
192,55.610000,-27.330000,2.150000,55.492909,-26.087742,0.812606,1.020000
193,55.660000,-28.280000,2.230000,54.964923,-29.159407,1.611727,1.020000
194,55.600000,-28.210000,2.290000,54.683164,-27.503365,1.349311,1.020000
195,55.440000,-28.090000,2.220000,56.194835,-29.008705,1.718067,1.020000
196,55.530000,-28.150000,2.280000,54.857084,-28.846322,2.937702,1.020000
197,63.540000,12.360000,20.910000,62.646224,12.282593,20.836194,1.020000
198,63.670000,12.370000,20.860000,63.738092,10.990092,20.714088,1.020000
199,63.930000,12.250000,20.640000,63.838719,12.026687,19.027909,1.020000
200,63.610000,12.180000,20.760000,63.643369,10.986673,19.712859,1.020000
201,63.750000,12.170000,20.730000,63.828700,11.317988,21.485063,1.020000
202,63.030000,12.800000,20.090000,62.237502,11.906939,19.178927,1.020000
203,60.500000,13.660000,21.200000,59.726197,14.262560,20.770823,1.020000
204,61.260000,13.200000,20.820000,62.043027,12.566449,20.265787,1.020000
205,63.060000,12.460000,19.130000,62.435404,11.901098,19.695977,1.020000
206,46.480000,12.760000,-13.440000,45.545043,12.764698,-13.530207,1.020000
207,46.310000,12.740000,-13.340000,46.265879,11.282548,-13.142928,1.020000
208,46.440000,12.610000,-13.150000,46.384908,12.478113,-14.812776,1.020000
209,46.520000,12.680000,-13.400000,46.441276,11.677501,-14.108514,1.020000
210,46.590000,12.640000,-13.550000,46.780017,14.393338,-15.824446,1.020000
211,46.370000,11.520000,-12.740000,45.865077,10.780466,-13.228602,1.020000
212,46.500000,11.450000,-12.650000,45.744419,12.221204,-13.573172,1.020000
213,46.110000,11.550000,-12.720000,46.708500,10.823765,-13.139259,1.020000
214,46.180000,11.430000,-12.720000,45.313524,10.799836,-12.074832,1.020000
215,42.330000,35.940000,20.390000,41.391335,35.969128,20.403154,1.020000
216,41.480000,35.710000,20.410000,41.452837,33.769806,20.406120,1.020000
217,41.560000,35.850000,21.710000,41.601533,35.836156,19.979446,1.020000
218,41.860000,35.780000,20.330000,41.843917,34.394826,18.872451,1.020000
219,41.900000,35.960000,20.460000,41.954134,36.773326,19.420897,1.020000
220,43.110000,35.490000,22.270000,42.222722,34.567295,21.292545,1.020000
221,43.990000,34.570000,23.340000,43.557012,35.086705,22.743179,1.020000
222,43.350000,35.280000,22.090000,44.165545,34.348403,21.093223,1.020000
223,42.930000,35.160000,23.560000,43.500218,35.572658,22.525855,1.020000
224,76.860000,4.020000,35.140000,75.669578,4.002144,35.113811,1.020000
225,78.310000,1.360000,37.230000,78.226487,-0.058282,36.996739,1.020000
226,78.470000,1.630000,35.430000,78.184102,1.456262,33.257177,1.020000
227,78.630000,1.160000,34.250000,78.369215,0.121750,33.021051,1.020000
228,78.520000,1.830000,33.650000,78.531520,0.818825,34.434620,1.020000
229,77.870000,1.620000,36.290000,77.088160,0.748513,35.402347,1.020000
230,77.820000,1.990000,36.300000,76.971617,2.607388,35.373218,1.020000
231,77.740000,2.040000,36.140000,78.466983,1.182967,35.484545,1.020000
232,77.990000,1.780000,36.310000,77.340316,1.046374,36.911389,1.020000
233,64.600000,-10.000000,13.410000,63.747223,-9.899420,13.377333,1.020000
234,64.730000,-9.990000,13.490000,64.741702,-11.147374,13.664367,1.020000
235,64.750000,-10.320000,13.340000,64.797500,-10.331515,11.902049,1.020000
236,64.830000,-10.060000,13.450000,65.027122,-10.941607,12.647000,1.020000
237,64.740000,-9.070000,12.060000,64.595508,-8.108442,10.640885,1.020000
238,65.190000,-10.190000,13.420000,64.562287,-10.729411,12.934338,1.020000
239,65.210000,-10.100000,13.360000,64.351878,-9.347713,12.497587,1.020000
240,65.230000,-10.170000,13.660000,65.824043,-10.838163,13.036527,1.020000
241,65.160000,-10.200000,13.340000,64.520680,-10.704992,13.936901,1.020000
242,14.550000,-0.620000,0.400000,13.332763,-0.687082,0.425613,1.020000
243,14.070000,-0.140000,0.480000,13.868348,-0.903397,0.611234,1.020000
244,13.890000,-0.160000,0.740000,13.431101,0.249499,-0.405297,1.020000
245,14.000000,-0.500000,0.520000,13.087098,-0.959751,0.114144,1.020000
246,14.420000,-0.450000,0.440000,13.851954,0.190790,-0.200790,1.020000
247,14.340000,-0.340000,0.080000,15.059080,-0.915882,-0.381530,1.020000
248,13.710000,-0.960000,0.290000,13.237625,-1.708887,0.661563,1.020000
249,68.770000,-30.780000,-5.010000,67.514372,-30.662758,-4.984787,1.020000
250,68.590000,-30.890000,-5.180000,68.541996,-33.287798,-5.079192,1.020000
251,68.400000,-30.890000,-5.070000,68.489008,-31.717775,-6.643662,1.020000
252,68.420000,-30.650000,-5.260000,67.696118,-31.546927,-5.907267,1.020000
253,69.000000,-30.750000,-4.850000,67.980607,-30.001227,-5.925842,1.020000
254,68.700000,-30.570000,-4.910000,69.524674,-31.826326,-5.659093,1.020000
255,68.960000,-30.640000,-4.910000,68.160142,-31.103153,-3.766086,1.020000
256,28.890000,21.190000,17.640000,27.836189,21.163496,17.525501,1.020000
257,28.840000,20.830000,17.650000,28.810742,19.664353,17.545841,1.020000
258,28.920000,21.100000,17.800000,28.884792,21.202562,16.272280,1.020000
259,28.730000,21.120000,17.680000,28.073130,20.536362,17.003157,1.020000
260,29.170000,21.250000,17.980000,28.607372,21.832999,17.446473,1.020000
261,29.010000,21.280000,17.890000,29.926184,20.495891,17.197648,1.020000
262,28.690000,21.080000,17.990000,28.096111,20.453804,18.388143,1.020000
263,32.260000,-33.200000,-5.070000,31.238521,-33.548771,-5.090516,1.020000
264,31.590000,-33.430000,-4.950000,31.783415,-37.050152,-4.537624,1.020000
265,31.600000,-33.500000,-5.020000,31.594280,-34.146355,-6.295550,1.020000
266,31.540000,-33.570000,-5.130000,30.773527,-35.602522,-5.830319,1.020000
267,31.310000,-34.000000,-5.020000,30.488045,-33.447920,-5.966618,1.020000
268,31.390000,-34.110000,-4.880000,32.173857,-35.289561,-5.405592,1.020000
269,31.800000,-34.130000,-4.880000,31.223022,-34.917003,-4.216888,1.020000
270,59.950000,-13.710000,-25.840000,58.742753,-13.866089,-25.777808,1.020000
271,59.290000,-13.790000,-26.980000,59.546992,-15.428325,-27.313075,1.020000
272,59.990000,-13.090000,-25.820000,60.341981,-13.595196,-27.797306,1.020000
273,59.510000,-13.540000,-25.820000,58.926631,-14.221423,-26.240937,1.020000
274,60.210000,-13.240000,-25.560000,59.391690,-12.441730,-26.777445,1.020000
275,60.540000,-13.240000,-25.560000,61.454360,-14.045508,-26.166852,1.020000
276,59.840000,-13.470000,-25.700000,58.721886,-14.548881,-24.172129,1.020000
277,18.240000,25.930000,3.260000,17.178138,25.749602,3.345338,1.020000
278,17.330000,25.070000,3.290000,18.227473,23.570713,3.216523,1.020000
279,16.990000,25.030000,3.830000,16.808968,24.890489,2.184103,1.020000
280,18.130000,26.020000,3.590000,17.256821,25.183736,2.846023,1.020000
281,18.100000,25.770000,3.350000,16.951298,26.540228,2.432034,1.020000
282,16.210000,24.300000,3.160000,16.181040,22.877357,2.041433,1.020000
283,16.500000,24.540000,3.380000,15.890308,23.720727,4.280928,1.020000
284,58.420000,31.060000,-0.160000,57.117755,31.033010,-0.510864,1.020000
285,58.130000,31.590000,-0.390000,58.149120,29.202389,-0.495160,1.020000
286,58.060000,31.690000,-0.220000,58.406971,31.118863,-2.050367,1.020000
287,58.180000,31.350000,-0.350000,57.286119,30.300734,-1.295676,1.020000
288,57.580000,32.000000,0.280000,56.526811,32.682768,-0.661748,1.020000
289,58.140000,31.600000,-0.230000,59.245793,30.723264,-0.939287,1.020000
290,58.250000,31.270000,-0.210000,57.038866,30.405145,0.587288,1.020000
291,30.130000,6.620000,-30.840000,29.111467,6.629185,-30.912461,1.020000
292,30.400000,7.230000,-31.660000,30.486044,5.856113,-31.349676,1.020000
293,30.130000,6.610000,-30.750000,30.264589,6.310125,-31.884566,1.020000
294,30.240000,6.870000,-31.580000,29.845978,6.030477,-31.926501,1.020000
295,30.380000,6.880000,-31.370000,29.374145,7.805804,-32.447205,1.020000
296,29.930000,6.790000,-30.810000,30.570188,5.944267,-30.958806,1.020000
297,30.090000,6.780000,-31.010000,29.101124,5.770122,-29.977369,1.020000
298,83.380000,0.060000,0.130000,82.099381,0.262819,0.032491,1.020000
299,84.670000,-0.040000,0.720000,84.701631,-1.058309,0.782241,1.020000
300,82.690000,1.240000,0.660000,82.141650,2.099625,-0.834843,1.020000
301,83.890000,-0.350000,-0.240000,83.188301,-1.142403,-0.922802,1.020000
302,83.920000,1.020000,-0.000000,83.207388,1.878126,-0.777889,1.020000
303,83.430000,0.960000,0.160000,83.925652,0.146364,-0.172117,1.020000
304,82.390000,-0.740000,0.070000,81.038215,-0.863315,0.842672,1.020000
305,75.900000,18.000000,79.700000,74.319802,17.600466,79.771753,1.020000
306,76.110000,18.210000,79.890000,76.240468,16.324835,79.976979,1.020000
307,76.190000,18.090000,79.850000,76.137076,18.288467,75.444036,1.020000
308,76.170000,18.260000,80.010000,75.264161,16.648915,78.985916,1.020000
309,76.100000,18.350000,79.810000,74.884371,19.267495,78.365522,1.020000
310,75.840000,18.440000,80.110000,76.901840,17.487388,79.026672,1.020000
311,76.090000,18.230000,79.890000,75.303262,16.686213,81.113579,1.020000
